englishWord,kannadaMeaning,pronunciation,kannadaDefinition,simpleExplanation,exampleUsage,subject
"Commerce Word 169","ವಾಣಿಜ್ಯ ಪದ 169","Commerce Word 169","ವಿವರಣೆ 169","Explanation 169","Example 169","Commerce"
"Commerce Word 170","ವಾಣಿಜ್ಯ ಪದ 170","Commerce Word 170","ವಿವರಣೆ 170","Explanation 170","Example 170","Commerce"
"Commerce Word 171","ವಾಣಿಜ್ಯ ಪದ 171","Commerce Word 171","ವಿವರಣೆ 171","Explanation 171","Example 171","Commerce"
"Commerce Word 172","ವಾಣಿಜ್ಯ ಪದ 172","Commerce Word 172","ವಿವರಣೆ 172","Explanation 172","Example 172","Commerce"
"Commerce Word 173","ವಾಣಿಜ್ಯ ಪದ 173","Commerce Word 173","ವಿವರಣೆ 173","Explanation 173","Example 173","Commerce"
"Commerce Word 174","ವಾಣಿಜ್ಯ ಪದ 174","Commerce Word 174","ವಿವರಣೆ 174","Explanation 174","Example 174","Commerce"
"Commerce Word 175","ವಾಣಿಜ್ಯ ಪದ 175","Commerce Word 175","ವಿವರಣೆ 175","Explanation 175","Example 175","Commerce"
"Commerce Word 176","ವಾಣಿಜ್ಯ ಪದ 176","Commerce Word 176","ವಿವರಣೆ 176","Explanation 176","Example 176","Commerce"
"Commerce Word 177","ವಾಣಿಜ್ಯ ಪದ 177","Commerce Word 177","ವಿವರಣೆ 177","Explanation 177","Example 177","Commerce"
"Commerce Word 178","ವಾಣಿಜ್ಯ ಪದ 178","Commerce Word 178","ವಿವರಣೆ 178","Explanation 178","Example 178","Commerce"
"Commerce Word 179","ವಾಣಿಜ್ಯ ಪದ 179","Commerce Word 179","ವಿವರಣೆ 179","Explanation 179","Example 179","Commerce"
"Commerce Word 180","ವಾಣಿಜ್ಯ ಪದ 180","Commerce Word 180","ವಿವರಣೆ 180","Explanation 180","Example 180","Commerce"
"Commerce Word 181","ವಾಣಿಜ್ಯ ಪದ 181","Commerce Word 181","ವಿವರಣೆ 181","Explanation 181","Example 181","Commerce"
"Commerce Word 182","ವಾಣಿಜ್ಯ ಪದ 182","Commerce Word 182","ವಿವರಣೆ 182","Explanation 182","Example 182","Commerce"
"Commerce Word 183","ವಾಣಿಜ್ಯ ಪದ 183","Commerce Word 183","ವಿವರಣೆ 183","Explanation 183","Example 183","Commerce"
"Commerce Word 184","ವಾಣಿಜ್ಯ ಪದ 184","Commerce Word 184","ವಿವರಣೆ 184","Explanation 184","Example 184","Commerce"
"Commerce Word 185","ವಾಣಿಜ್ಯ ಪದ 185","Commerce Word 185","ವಿವರಣೆ 185","Explanation 185","Example 185","Commerce"
"Commerce Word 186","ವಾಣಿಜ್ಯ ಪದ 186","Commerce Word 186","ವಿವರಣೆ 186","Explanation 186","Example 186","Commerce"
"Commerce Word 187","ವಾಣಿಜ್ಯ ಪದ 187","Commerce Word 187","ವಿವರಣೆ 187","Explanation 187","Example 187","Commerce"
"Commerce Word 188","ವಾಣಿಜ್ಯ ಪದ 188","Commerce Word 188","ವಿವರಣೆ 188","Explanation 188","Example 188","Commerce"
"Commerce Word 189","ವಾಣಿಜ್ಯ ಪದ 189","Commerce Word 189","ವಿವರಣೆ 189","Explanation 189","Example 189","Commerce"
"Commerce Word 190","ವಾಣಿಜ್ಯ ಪದ 190","Commerce Word 190","ವಿವರಣೆ 190","Explanation 190","Example 190","Commerce"
"Commerce Word 191","ವಾಣಿಜ್ಯ ಪದ 191","Commerce Word 191","ವಿವರಣೆ 191","Explanation 191","Example 191","Commerce"
"Commerce Word 192","ವಾಣಿಜ್ಯ ಪದ 192","Commerce Word 192","ವಿವರಣೆ 192","Explanation 192","Example 192","Commerce"
"Commerce Word 193","ವಾಣಿಜ್ಯ ಪದ 193","Commerce Word 193","ವಿವರಣೆ 193","Explanation 193","Example 193","Commerce"
"Commerce Word 194","ವಾಣಿಜ್ಯ ಪದ 194","Commerce Word 194","ವಿವರಣೆ 194","Explanation 194","Example 194","Commerce"
"Commerce Word 195","ವಾಣಿಜ್ಯ ಪದ 195","Commerce Word 195","ವಿವರಣೆ 195","Explanation 195","Example 195","Commerce"
"Commerce Word 196","ವಾಣಿಜ್ಯ ಪದ 196","Commerce Word 196","ವಿವರಣೆ 196","Explanation 196","Example 196","Commerce"
"Commerce Word 197","ವಾಣಿಜ್ಯ ಪದ 197","Commerce Word 197","ವಿವರಣೆ 197","Explanation 197","Example 197","Commerce"
"Commerce Word 198","ವಾಣಿಜ್ಯ ಪದ 198","Commerce Word 198","ವಿವರಣೆ 198","Explanation 198","Example 198","Commerce"
"Commerce Word 199","ವಾಣಿಜ್ಯ ಪದ 199","Commerce Word 199","ವಿವರಣೆ 199","Explanation 199","Example 199","Commerce"
"Commerce Word 200","ವಾಣಿಜ್ಯ ಪದ 200","Commerce Word 200","ವಿವರಣೆ 200","Explanation 200","Example 200","Commerce"
